file_name,field_name,data_type,sql_data_type,count_of_nulls,count_of_non_nulls,percent_nulls,count_of_distinct_values,is_unique,is_constant,most_frequent_value,frequency_of_most_common,min_value,max_value,mean_value,median_value,std_deviation,min_length,max_length,pattern_sample,smallest_five_values,largest_five_values,five_most_frequent_values
Album.csv,AlbumId,int64,INTEGER,0,347,0.0,347,True,False,1,1,1,99,174.0,174.0,100.31450543166726,1,3,"86, 164, 108","['1', '10', '100', '101', '102']","['95', '96', '97', '98', '99']","{1: 1, 229: 1, 237: 1, 236: 1, 235: 1}"
Album.csv,Title,object,VARCHAR,0,347,0.0,347,True,False,...And Justice For All,1,...And Justice For All,[1997] Black Light Syndrome,,,,2,95,"Quanta Gente Veio Ver (Live), Nevermind, Rock In Rio [CD1]","['...And Justice For All', '20th Century Masters - The Millennium Collection: The Best of Scorpions', 'A Copland Celebration, Vol. I', 'A Matter of Life and Death', 'A Real Dead One']","['Warner 25 Anos', 'Weill: The Seven Deadly Sins', 'Worlds', 'Zooropa', '[1997] Black Light Syndrome']","{'For Those About To Rock We Salute You': 1, 'Lost, Season 3': 1, 'Rattle And Hum': 1, 'Pop': 1, 'How To Dismantle An Atomic Bomb': 1}"
Album.csv,ArtistId,int64,INTEGER,0,347,0.0,204,False,False,90,21,1,99,121.94236311239193,112.0,77.79313102621585,1,3,"27, 110, 90","['1', '10', '100', '101', '102']","['95', '96', '97', '98', '99']","{90: 21, 22: 14, 58: 11, 150: 10, 50: 10}"
Artist.csv,ArtistId,int64,INTEGER,0,275,0.0,275,True,False,1,1,1,99,138.0,138.0,79.52986860293433,1,3,"96, 19, 183","['1', '10', '100', '101', '102']","['95', '96', '97', '98', '99']","{1: 1, 182: 1, 188: 1, 187: 1, 186: 1}"
Artist.csv,Name,object,VARCHAR,0,275,0.0,275,True,False,A Cor Do Som,1,A Cor Do Som,Zeca Pagodinho,,,,2,85,"Jota Quest, Cidade Negra, Gustavo & Andres Veiga & Salazar","['A Cor Do Som', 'AC/DC', 'Aaron Copland & London Symphony Orchestra', 'Aaron Goldberg', 'Academy of St. Martin in the Fields & Sir Neville Marriner']","['Xis', 'Yehudi Menuhin', 'Yo-Yo Ma', ""Youssou N'Dour"", 'Zeca Pagodinho']","{'AC/DC': 1, 'Nega Gizza': 1, 'Mundo Livre S/A': 1, 'Los Hermanos': 1, 'Pedro Luís E A Parede': 1}"
Customer.csv,CustomerId,int64,INTEGER,0,59,0.0,59,True,False,1,1,1,9,30.0,30.0,17.175564037317667,1,2,"50, 3, 36","['1', '10', '11', '12', '13']","['59', '6', '7', '8', '9']","{1: 1, 45: 1, 33: 1, 34: 1, 35: 1}"
Customer.csv,FirstName,object,VARCHAR,0,59,0.0,57,False,False,Frank,2,Aaron,Wyatt,,,,3,9,"Enrique, François, Hannah","['Aaron', 'Alexandre', 'Astrid', 'Bjørn', 'Camille']","['Steve', 'Terhi', 'Tim', 'Victor', 'Wyatt']","{'Frank': 2, 'Mark': 2, 'Luís': 1, 'João': 1, 'Madalena': 1}"
Customer.csv,LastName,object,VARCHAR,0,59,0.0,59,True,False,Almeida,1,Almeida,Zimmermann,,,,4,12,"Muñoz, Tremblay, Schneider","['Almeida', 'Barnett', 'Bernard', 'Brooks', 'Brown']","['Tremblay', 'Van der Berg', 'Wichterlová', 'Wójcik', 'Zimmermann']","{'Gonçalves': 1, 'Kovács': 1, 'Sullivan': 1, 'Fernandes': 1, 'Sampaio': 1}"
Customer.csv,Company,object,VARCHAR,49,10,83.05084745762711,10,False,False,Apple Inc.,1,Apple Inc.,Woodstock Discos,,,,5,48,"Woodstock Discos, Apple Inc., Rogers Canada","['Apple Inc.', 'Banco do Brasil S.A.', 'Embraer - Empresa Brasileira de Aeronáutica S.A.', 'Google Inc.', 'JetBrains s.r.o.']","['Microsoft Corporation', 'Riotur', 'Rogers Canada', 'Telus', 'Woodstock Discos']","{'Embraer - Empresa Brasileira de Aeronáutica S.A.': 1, 'JetBrains s.r.o.': 1, 'Woodstock Discos': 1, 'Banco do Brasil S.A.': 1, 'Riotur': 1}"
Customer.csv,Address,object,VARCHAR,0,59,0.0,59,True,False,1 Infinite Loop,1,1 Infinite Loop,"Via Degli Scipioni, 43",,,,11,40,"C/ San Bernardo 85, 1498 rue Bélanger, Tauentzienstraße 8","['1 Infinite Loop', '1 Microsoft Way', '1033 N Park Ave', '11, Place Bellecour', '110 Raeburn Pl']","['Sønder Boulevard 51', 'Tauentzienstraße 8', 'Theodor-Heuss-Straße 34', 'Ullevålsveien 14', 'Via Degli Scipioni, 43']","{'Av. Brigadeiro Faria Lima, 2170': 1, 'Erzsébet krt. 58.': 1, '5112 48 Street': 1, 'Rua da Assunção 53': 1, 'Rua dos Campeões Europeus de Viena, 4350': 1}"
